
2024/12/10 (09:11:50) | ===> btop++ v.1.4.0
2024/12/10 (09:11:50) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2024/12/10 (09:11:50) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/10 (09:12:06) | ===> btop++ v.1.4.0
2024/12/10 (09:12:06) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2024/12/10 (09:12:06) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/10 (13:33:16) | ===> btop++ v.1.4.0
2024/12/10 (13:33:16) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2024/12/10 (13:33:16) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/10 (13:49:38) | ===> btop++ v.1.4.0
2024/12/10 (13:49:38) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2024/12/10 (13:49:38) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/10 (14:55:59) | ===> btop++ v.1.4.0
2024/12/10 (14:55:59) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2024/12/10 (14:55:59) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/10 (16:41:09) | ===> btop++ v.1.4.0
2024/12/10 (16:41:09) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2024/12/10 (16:41:09) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/10 (17:40:50) | ===> btop++ v.1.4.0
2024/12/10 (17:40:50) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2024/12/10 (17:40:50) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/10 (17:41:29) | ===> btop++ v.1.4.0
2024/12/10 (17:41:29) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2024/12/10 (17:41:29) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/10 (20:34:49) | ===> btop++ v.1.4.0
2024/12/10 (20:34:49) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2024/12/10 (20:34:49) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/11 (06:07:17) | ===> btop++ v.1.4.0
2024/12/11 (06:07:17) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2024/12/11 (06:07:17) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/11 (13:30:06) | ===> btop++ v.1.4.0
2024/12/11 (13:30:06) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2024/12/11 (13:30:06) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/11 (13:30:29) | ===> btop++ v.1.4.0
2024/12/11 (13:30:29) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2024/12/11 (13:30:29) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/11 (22:31:09) | ===> btop++ v.1.4.0
2024/12/11 (22:31:09) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2024/12/11 (22:31:09) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/11 (23:26:04) | ===> btop++ v.1.4.0
2024/12/11 (23:26:04) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2024/12/11 (23:26:04) | WARNING: Intel GPU: Failed to initialize PMU
